,model_out_raw,history,text,restored_text
163,"Если взять с собой пиццу, то я не против. Можем сходить.","['Здравствуйте.', 'Привет, я сейчас за рулём, сложно отвечать.', 'Ну тогда ладно. Потом спишемся.', 'Работа водителя непроста, я освободился.', 'Я пойду почитаю. Пока что что.', 'Любишь читать?', 'Да в театр не хочешь сходить?', 'А я люблю смотреть сериалы, особенно ""Игру престолов"".', 'Есть два билета, но ни с кем пойти.', 'Я не очень люблю театр.', 'Ого, а я играл в игру пристолока.)']","Если взять с собой пиццу, то я не против. Можем сходить.","Если взять с собой пиццу, то я не против сходить в театр. Можем сходить."
164,Мне 30. А моим сестрам 21 и 19. Любишь готовить? Я обожаю.,"['Привет!', 'Приветики. Как дела?', 'Всё хорошо. Кормлю своих животных - собаку и кошку. Любишь животных?', 'Да, люблю животных, у меня есть кот Семён. Сколько тебе лет?']",Мне 30. А моим сестрам 21 и 19. Любишь готовить? Я обожаю.,Мне 30 лет. А моим сестрам 21 год и 19 лет. Любишь готовить? Я обожаю готовить.
165,"Ого, это здорово! Я в основном читаю книги по медицине. Но тебе посоветую из классики Шарлотту Бронте! Очень люблю её. Я хирург. Спасибо за диалог, мне пора бежать. Пока!","['Добрый день!', 'Привет. Что расскажешь?', 'А что тебя интересует для рассказа?', 'Меня интересуют компьютерные игрушки разве что. И поесть, если это можно назвать интересом. Ты чем увлекаешься?', 'Я в основном читаю, где ты работаешь?', 'Посоветуешь, что мне прочесть? Я в интернете (весь в интернете) работаю, делаю рекламу для одного сайта оптовой торговли. А ты где работаешь?']","Ого, это здорово! Я в основном читаю книги по медицине. Но тебе посоветую из классики Шарлотту Бронте! Очень люблю её. Я хирург. Спасибо за диалог, мне пора бежать. Пока!","Ого, работать в интернете это здорово! Я в основном читаю книги по медицине. Но тебе посоветую из классики Шарлотту Бронте! Очень люблю её. Я хирург. Спасибо за диалог, мне пора бежать. Пока!"
166,"История: Вот когда закончу универ, стану известным доктором. Неполное высказвание: Нет, я не женат... Но есть замужняя любовница. Ладно, приятно было поболтать пока.","['Привет. Ты где работаешь?', 'Привет! Я ещё учусь, подрабатыв тоже, впрочем.', 'А у меня своя фирма - я издатель.', 'Я учусь последний год. Хочу поступать в медицинский. Люблю людей спасать.', 'О классе расскажу: моя сестра, журналист, может про тебя написать статью.', 'Круто!) У вас семейное дело - издательство.', 'Про спасение людей.', 'Вот когда закончу универ, стану известным доктором.']","Нет, я не женат... Но есть замужняя любовница. Ладно, приятно было поболтать пока.","Нет, я не женат... Но у меня есть замужняя любовница. Ладно, приятно было поболтать пока."
167,"Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты?","['Привет. Как дела?) Что делаешь?', 'Привет, катаюсь на лыжах с мужем. А ты что делаешь?', 'Прямо сейчас катаешься на лыжах? Лыжи экстрим, здорово. Я собираю чемодан, наоборот, в тёплые края.', 'Передышка небольшая в катании у меня, собака остановилась наша. А чем любишь заниматься?']","Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты?","Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты чем любишь заниматься?"
168,"Я вообще разносторонний человек. Очень люблю детейшек, поэтому пошла работать тренером. А ты?","['Привет. Я Миша. А как тебя зовут?', 'Привет, я Лера! Приятно познакомиться!', 'И мне приятно познакомиться, чем увлекаешься? Кем работаешь?']","Я вообще разносторонний человек. Очень люблю детишек, поэтому пошла работать тренером. А ты?","Я вообще разносторонний человек. Очень люблю детишек, поэтому пошла работать тренером. А ты чем увлекаешься и кем работаешь?"
169,"Ага, у меня две дочки.","['Привет! Я в школе учусь, а ты учишься в школе?', 'Приветик! Я певица Аня, мне 28.', 'Обожаю вязать и гулять! Очень приятно познакомиться.', 'А я люблю водить машину. Особенно люблю водить машину ночью.', 'Ой, классно, а я в восторге от котят. Читаю Пушкина по вечерам. Чем ещё увлекаешься?', 'А я мечтаю уехать в Испанию...', 'Да я бы тоже сделала, в Испанию уехала.', 'Котята - это мило!', 'Слетала бы в Испанию. Ага, котята это мило, ещё что ещё расскажешь о себе?', 'У меня двое детей. Две замечательные дочки.', 'Ой, классно, у тебя две дочки, как это очень замечательно.']",Ага,"Ага, это замечательно."
170,"Это хорошо, а я только недавно со школы вернулась, буду делать уроки.","['Привет. Как дела?', 'Привет, всё супер! У вас как дела?', 'Хорошо у меня дела, что делаешь?', 'Ещё сижу на работе, но рабочий день уже подходит к концу. А ты что делаешь?']","Это хорошо, а я только недавно со школы вернулась, буду делать уроки.","Это хорошо, что день подходит к концу, а я только недавно со школы вернулась, буду делать уроки."
171,"Прекрасно! Я просто обожаю их, они цветы нашей жизни.","['Привет!', 'Здраствуйте!', 'Как у тебя дела? Чем занимаешься?', 'Как вы относитесь к детям?']","Прекрасно! Я просто обожаю их, они цветы нашей жизни.","Прекрасно отношусь к детям! Я просто обожаю детей, дети цветы нашей жизни."
172,"А бизнес не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2.","['Привет! Как дела? Как настроение?', 'Привет. Как дела? Настроение норм.', 'Я студент, так что дела идут неплохо, только спать хочу, ох уж эти лекции и семинары... А какие планы на жизнь? У меня сейчас много идей, даже мечтаю открыть бизнес. Ну это лет через 5, наверно.', 'Да на лекциях сидеть скучно, лучше ездить за границу, как я.', 'Вау, ты ездишь за границу, я ещё никогда за пределы России не выезжал, интересно, наверно? Пока учу английский, может, следующим летом поеду в Европу.']","А бизнес не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2.","А бизнес ты мечтаешь открыть не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2."
173,"Да, я его люблю.","['Привет! Как твои дела?', 'Привет. Хорошо, собираюсь на пляж. А ты как?', 'Мои дела не сильно приятные, очень устаю на работе, их целых 5! Приходится идти на жертвы ради любимой жены и троих детей. Мне тоже хочется на пляж, сесть на шезлонг, потягивать пиво и любоваться закатом.', 'Я тебя понимаю и даже в чём-то завидую, ведь у тебя такая большая семья. Я тебя понимаю и даже в чём-то завидую, ведь у тебя такая большая семья.', 'Да у меня большая семья! Мы очень дружные, я учу своих сыновей играть футбол, так как сам им занимаюсь профессионально и очень его люблю.', 'Это здорово, ведь спорт - это движение, а движение - жизнь.', 'У тебя есть домашние питомцы? У меня есть собачка Джина, я просто безумна от неё! Очень сильно люблю свою собаку.', 'Я сам сегодня планирую покататься на канатной дороге, хочу побороть свой страх высоты. У меня только кот.']",Ты любишь его?,Ты любишь своего кота?
174,Люблю ходить в походы.,"['Привет.', 'Привет.', 'Ты работаешь?', 'Я сейчас занимаюсь спортом. Ты чем занимаешься сейчас?', 'Здорово, я как раз люблю волейбол, но вообще я домохозяйка! У тебя есть семья? Я вот обожаю своего братика!', 'Да, у меня есть семья. А что любишь готовить?', 'Если честно, то люблю готовить корм для своего котёнка! Мой котенок такой лапочка! Можно много чего приготовить моему котенкой, а платой за приготовленную еду будет неподдельная кошачья любовь! А ты любишь готовить?', 'Я не люблю готовить. Я люблю путешествовать. У тебя есть хобби? Какое твое хобби?', 'Мой брат недавно подарил мне шикарную юбку. Мой брат знает, что я люблю! Хобби у меня нет, ну, кроме того, что люблю в волейбол играть, а у тебя есть хобби?', 'Люблю ходить в походы.']",Здорово! Спасибо за диалог!,"Здорово, ты любишь ходить в походы! Спасибо за диалог!"
175,"Да, я катаюсь на роликах, а ты?","['Привет.', 'Привет.', 'Чем заняты?', 'Как тебя зовут? Тетради проверяю.', 'Меня зовут Татьяна, а вас как зовут?', 'Я учитель. Меня зовут Елена, давай на ты.', 'А я стригу! Я парикмахер. Хорошо, давай на ты.', 'Я так и предположила, что ты парикмахер: у тебя есть питомцы?', 'Много работы у тебя? У меня вот много работы.', 'У меня очень много работы.', 'Да, питомцы есть, крыса) плюс живу с родственниками. А у тебя есть питомцы?', 'А у меня есть питомец, лабрадор.', 'Круто, у тебя лабрадор. А спорт любишь?']","Да я катаюсь на роликах, а ты?","Да, спорт люблю, я катаюсь на роликах, а ты спорт любишь?"
176,"Добрый вечер! Веду хозяйство, пеку торты, воспитывают двух дочек. А ты?","['Здравствуйте, чем занимаешься?']","Добрый вечер! Веду хозяйство, пеку торты, воспитывают двух дочек. А ты?","Добрый вечер! Веду хозяйство, пеку торты, воспитывают двух дочек. А ты чем занимаешься?"
177,"Переписанное неполное высказвание: Нет, я школьница.","['Привет. Как день?', 'Привет! У меня всё отлично. Как ваши дела?)) Вы из какого города?', 'Дела супер, у меня перемена! Я из Москвы, чем занимаетесь?', 'А я из Иванова. Иваново - маленький город, и здесь скучно жить. Сижу на паре, учусь в Ранхигсе. Вам сколько лет?', 'Может, у тебя есть хобби?', 'Люблю танцевать и рисовать.', 'Мне 16 лет.', 'А у вас есть хобби? А мне 20 лет.', 'Я мечтаю работать.', 'Так ты работаешь уборщицей?? Ты где-то учишься?']","Нет, я школьница.","Нет, я не работаю, я школьница."
178,"В свободное время увлекаюсь рыбалкой и охотой, преподаю программирование.","['Привет.', 'Здравствуйте. Как вас зовут?', 'Меня зовут Андрей, а вас как зовут? Чем занимаетесь?', 'Очень приятно познакомиться, вас зовут Андрей, как моего внука :-) А меня зовут Людмила Александровна, я вязала и готовила, решила отвлечься и поболтать в чате. А вы чем занимаетесь?', 'Я преподаватель в университете.', 'Что преподаёте в университете?']",В свободное время увлекаюсь рыбалкой и охотой. Преподаю программирование.,В свободное время увлекаюсь рыбалкой и охотой. В университете преподаю программирование.
179,Переписанное неполное высказвание: Маша!,"['Приветствую.', 'Привет.', 'Ты кто?']",Маша!,Я Маша! Кем работаешь?
180,"А ещё я хочу поехать в Париж, мне говорили, что там ну очень круто, это моя мечта, а что насчёт тебя?","['Здравствуйте.', 'Привет, не хочешь ко мне на кофе сходить? У меня мама варит кофе. Ты знаешь, кто такой баха? Честно сказать, не люблю его.', 'Конечно, я не против сходить к тебе на кофе, как раз кофе это мой любимый напиток.', 'У меня есть хобби: я люблю выращивать кукурузу и ещё вязать люблю. И моя короночка - я владею суахили.', 'Выращивать кукурузу и вязать это отличное хобби, а я работаю медбратом, а моя жена работает медсестрой.', 'Круто, ты работаешь медбратом, а твоя жена медсестрой.']","А ещё я хочу поехать в Париж, мне говорили, что там ну очень круто, это моя мечта, а что насчёт тебя?","А ещё я хочу поехать в Париж, мне говорили, что там в Париже ну очень круто, это моя мечта, а что насчёт тебя?"
181,"А я не только люблю рыбалку, но и обожаю плавать.","['Привет! Как дела? Как тебя зовут?', 'Привет. Меня зовут Настя, а тебя как зовут?', 'Меня зовут Эдик, мне 21 год, а тебе сколько лет?', 'Где ты работаешь?', 'Я мужчина в прекрасном возрасте. Я пока в отпуске, но работаю водителем такси.', 'А я работаю в медиа, на телевидении.', 'Ух ты! Умница, ты работаешь на телевидении! А что ты любишь делать в свободное от работы время?', 'Люблю готовить, мне очень нравится европейская кухня. Какое твоё любимое блюдо? Также я много путешествую. Обожаю поедки за город - за городом свежий воздух, лес, речка.', 'Я тоже обожаю готовить, особенно блюда из мяса (шашлык, плов). Кстати, я ненавижу капусту.', 'Люблю рыбалку. Да уж, капуста с мясом не сравнится.', 'А я не только люблю рыбалку, но и обожаю плавать.']",Круто. У нас много общего.,"Круто, ты любишь плавать. У нас много общего."
182,Взаимно приятно.,"['Привет. Как дела? Познакомимся?', 'О, привет! Хорошо, у тебя как? Конечно давай познакомимся.', 'У меня тоже дела не плохо? Как тебя зовут? Чем увлекаешься? От куда ты?', 'Меня зовут Акмал. Я из Тулы. Я музыкант, люблю путешествовать по разным городам. А ты откуда и чем увлекаешься?', 'Я Ира, я с Украины. Работаю учителем младших классов, выходя с моей профессии, обожаю читать, предпочитаю читать классическую литературу. А у меня только в планах путешествия.', 'Очень приятно познакомиться.']",Взаимно.,"Мне тоже, взаимно приятно познакомиться."
183,Так нельзя! Ты что! Дети - это святое! В свободное время я даже рисую своих крошек! И очень люблю для них готовить. А какие у тебя хобби?,"['Приветики.', 'Привет.', 'Я мамочка троих замечательных деток. А у тебя сколько детей?', 'Хорошо, иметь троиз детей. У меня нет детей, всё время трачу на бизнес.']",Так нельзя! Ты что! Дети - это святое! В свободное время я даже рисую своих крошек! И очень люблю для них готовить. А какие у тебя хобби?,"Так нельзя, все время тратить на бизнес! Ты что! Дети - это святое! В свободное время я даже рисую своих крошек! И очень люблю для них готовить. А какие у тебя хобби?"
184,"Да, я люблю слушать музыку и занимаюсь спортом.","['Привет.', 'Привет. Расскажи о себе, кем работаешь?', 'Я работаю программистом! А ты кем работаешь?', 'Я работаю инженером, а чем в свободное время занимаешься?', 'В свободное время люблю слушать музыку и заниматься спортом. А ты любишь музыку? Какая твоя любимая группа? Работаешь по специальности?']","Да я неприхотлив в музыке. Разную слушаю, особенно люблю на фоне включить, когда готовлю. Очень люблю готовить. Да, по специальности. Ты нет, раз спрашиваешь?","Да я неприхотлив в музыке. Разную музыку слушаю, особенно люблю на фоне музыку включить, когда готовлю. Очень люблю готовить. Да, работаю по специальности. Ты не работаешь по специальности, раз про это спрашиваешь?"
185,"Нормально, а у тебя?","['Привет.', 'Привет! Как жизнь?']",Нормально. А у тебя?,Жизнь нормально. А у тебя как жизнь?
186,"История: Ты любишь птиц? Неполное высказвание: Нет, я не зоолог, я учусь в юридическом колледже.","['Привет! Давай знакомимся? Я пират.', 'Привет, а я студент.', 'Ты любишь птиц?']","Нет, я не зоолог, я учусь в юридическом колледже.","Нет, не люблю птиц, я не зоолог, я учусь в юридическом колледже."
187,"О, какое совпадение. Я из другого направления, дел так же навалом. Не любил бы работу - уволился давно. Звучит как чёткая цель. И друзей четвероногих у тебя нет?","['Добрый вечер!', 'Привет, познакомимся? Меня Сергей зовут.', 'Конечно познакомимся, я Женя. Приятно познакомиться.', 'Ты девушка?', 'Не, я не девушка, я примерный семьянин с двумя карапузами. Как дела? Как успехи?', 'Да мне всё равно, с кем знакомится. У меня друзей вообще нет, всегда на работе, некогда дружить.', 'Как тебе твоя работа? Чем занимаешься вообще?', 'Я программист, делаю приложения для гаджетов, мечтаю сделать суперхитовое приложение, которое будет в каждом телефоне, и разбогатеть сказочно.']","О, какое совпадение. Я из другого направления, дел так же навалом. Не любил бы работу - уволился давно. Звучит как чёткая цель. И друзей четвероногих у тебя нет?","О, какое совпадение, ты программист. Я из другого направления, дел так же навалом. Не любил бы работу - уволился давно. Сделать суперхитовое приложение звучит как чёткая цель. И друзей четвероногих у тебя нет?"
188,"Активный образ жизни - это круто, недавно осуществил свою мечту и спрыгнул с парашютом. Кем работаете?","['Привет.', 'Привет, чем занимаешься?', 'Сейчас практикуюсь игре на гитаре, уж очень увлекло меня играть на гитаре. А вы чем занимаетесь?', 'Я тоже люблю слушать музыку: раньше играл на гитаре, сейчас не играю на гитаре! Предпочитаю активный образ жизни: велосипед, прогулки.']","Активный образ жизни - это круто, недавно осуществил свою мечту и спрыгнул с парашютом. Кем работаете?","Активный образ жизни - это круто, недавно осуществил свою мечту и спрыгнул с парашютом. Кем вы работаете?"
189,"В каком институте вы учитесь? Ой, мой автобус подошёл. В педагогическом на худграфе. Рада была пообщаться. Всего хорошего!","['Привет! Как дела? Как день проходит?', 'Привет. Как дела?', 'Как Вас зовут? Меня Юля. Мне 21 год. Всё отлично. Иду домой с пар.', 'У меня хорошо. Меня зовут Олеся, мне тоже 21 год. Чем увлекаетесь?', 'Люблю бегать по утрам. Ходить в кино. Есть мороженое. И очень люблю вышивать. Даже мечтаю открыть свою фабрику! А ты что любишь? Какие увлечения?', 'Фабрику мороженого или фабрику одежду с вышивкой ты мечтаешь открыть?', 'Фабрику по пошиву одежды мечтаю открыть. Я учусь на модельера. Я уже придумала кучу новой одежды с моей фирменной вышивкой. Уверена, что у меня всё получится с фабрикой! Я очень трудолюбивая.)', 'Я с детства катаюсь на лыжах, недавно ездила в Розу кататься на лыжах. Также очень люблю косметику.', 'Вот только с моей трудолюбивостью я превращаюсь в трудоголика. Совсем у меня нет времени на личную жизнь, а я хочу семью.', 'На каком курсе вы учитесь? Любите ли вы рисунок и живопись?', 'В этом году заканчиваю учебу. Живопись мне нравится. Часто хожу в галереи на выставки. Но рисовать у меня не получается. Точнее, рисовать то у меня получается, но как-то не очень хорошо.', 'В каком институте вы учитесь?) Рисунок это самое сложное, на мой взгляд, из всех предметов в худ. образовании.']","Ой, мой автобус подошёл. В педагогическом на худграфе. Рада была пообщаться. Всего хорошего!","Ой, мой автобус подошёл. Учусь в педагогическом на худграфе. Рада была пообщаться. Всего хорошего!"
190,Мои замечательно. Написал новую картину и планирую её показать миру. Я художник. А какое хобби у тебя?,"['Привет.', 'Привет.', 'Как дела? Давайте знакомиться.', 'Дела в норме, как твои дела? У тебя есть хобби?']",Мои замечательно. Написал новую картину и планирую её показать миру. Я художник. А какое хобби у тебя?,Мои дела замечательно. Написал новую картину и планирую её показать миру. Я художник. А какое хобби у тебя?
191,"Круто, а я люблю историю и собирать монеты.","['Привет.', 'Привет.', 'Я космонавт.', 'Я студент.', 'Знаешь, что я умею?', 'Что ты умешь?', 'Я умею шевелить ушами. И что ещё забавней у меня 6 пальцев на ноге.']","Круто, а я люблю историю и собирать монеты.","Круто, шевелить ушами, а я люблю историю и собирать монеты."
192,"Это хорошо, а мы живём в деревне, чистый воздух, природа...","['Привет. Стрижка не нужна?', 'Привет! Нет, мне стрижка не нужна, меня моя жена стрижет.', 'Жаль, что тебе не нужна стрижка, тогда коту своему сделаю стрижку. Клиентов нет у меня вообще.', 'Правда, возраст уже не тот у жены... Последнее время плохо получается у жены стричь. Жена часто режет меня.', 'Эх, жаль, что ваша жена в возрасте.', 'Буду иметь в виду, что вы стрижки делаете.', 'А я одинока. Кто бы замуж позвал?', 'А далеко ехать-то до вас? Мне в моём возрасте тяжело уже выбираться на дальние расстояния.', 'Я хорошо готовлю) Надо чаще гулять по парку. От этого здоровье прибавится) Я вот люблю по парку гулять.']","Это хорошо, а мы живём в деревне, чистый воздух, природа...","Это хорошо, что вы по парку гуляете, а мы живём в деревне, чистый воздух, природа..."
193,"Привет! Супер! А у тебя? Меня зовут Кирилл, а тебя?",['Привет. Как дела?'],"Привет! Супер! А у тебя? Меня зовут Кирилл, а тебя?","Привет! Дела супер! А у тебя как дела? Меня зовут Кирилл, а тебя как зовут?"
194,"Он хорошо готовит кексы, а я их обожаю есть.","['Привет.', 'Привет.', 'Я Александр. Спортсмен.', 'Я Аделаида. Я парикмахер.', 'А точнее я футболист, а ты кто? У тебя есть родственники? У меня брат.', 'Ого, ты футболист, свела же нас судьба. Обычно парикмахер и футболист не пересекаются.']","Он хорошо готовит кексы, а я их обожаю есть.","Мой брат хорошо готовит кексы, а я эти кексы обожаю есть."
195,"Вот хочу к лету похудеть, а то от неё располнел.","['Привет.', 'Привет!', 'Как у тебя дела?', 'Дела отлично, ты любишь пиццу?', 'Да, обожаю пиццу.', 'А я люблю пиццу с грибами.', 'Ой не, грибы в пицце не моё.']","Вот хочу к лету похудеть, а то от неё располнел.","Вот хочу к лету похудеть, а то от пиццы располнел."
196,"У меня очень много работы, плюс живу с родственниками. А у тебя?","['Привет.', 'Привет.', 'Чем заняты?', 'Как тебя зовут? Тетради проверяю.', 'Меня зовут Татьяна, а вас как зовут?', 'Я учитель. Меня зовут Елена, давай на ты.', 'А я стригу! Я парикмахер. Хорошо, давай на ты.', 'Я так и предположила, что ты парикмахер: у тебя есть питомцы?', 'Много работы у тебя? У меня вот много работы.', 'У меня очень много работы.']",Да крыса) плюс живу с родственниками. А у тебя?,"Да, питомцы есть, крыса) плюс живу с родственниками. А у тебя есть питомцы?"
197,"Э-э-э... Может, спешить не будешь с замужеством? На меня посмотришь, я парень молодой, и нервы в порядке. Путешествовать я люблю, а с тобой хоть на край света пойду.","['Привет. Как жизнь?', 'Здарова, я хорошо. Только урок закончился. Чем занимаешься?', 'Вот это тебе не повезло, у тебя уроки. А я кошек кормлю. У меня их две. А у тебя есть животные?', 'Какая порода у твоих кошек? Мне животные ни к чему, у меня на работе забот хватает. Детишки бегают вокруг, нормативы сдают. Молодое поколение укреплять - моё призвание.', 'Мои кошки персы, детки это хорошо. Я мечтаю о двойне. Надеюсь, когда выйду замуж, рожу. А у тебя есть свои дети?', 'Нет, детей у меня нету. Надо бы жену для этого поискать. После работы прихожу домой, отжимаюсь под тяжёлый рок. А у тебя муж есть? Ох, уже всё понял, ты не замужем. Парень есть?', 'Скоро будет муж. Готовимся к свадьбе. Я сама себе платье шью. Я просто дизайнер. Жду не дождусь этого дня, и тебе желаю найти свою вторую половинку. А ты любишь путешествовать?']","Э-э-э... Может, спешить не будешь с замужеством? На меня посмотришь, я парень молодой, и нервы в порядке. Путешествовать я люблю, а с тобой хоть на край света пойду.","Э-э-э, замуж выходишь... Может, спешить не будешь с замужеством? На меня посмотришь, я парень молодой, и нервы в порядке. Путешествовать я люблю, а с тобой хоть на край света пойду."
198,"Люблю, но не всегда денег хватает. У меня есть пёс, я его люблю. У тебя есть животные? Забыл, я же люблю футбол.","['Привет, чем занимаешься?', 'Привет, я не работаю и особо не охота, а ты чем занимаешься?', 'Я школьница, люблю вязать крючком. А на что же ты живешь?', 'Живу на деньги, ранее заработанные. Кстати, хочу выучить английский.', 'Я люблю читать, а ты? Я английский уже учу. Ты любишь путешествовать?', 'О да, я часто читаю и особенно хорошо читается на работе, и поэтому не хочется работать и хочется сразу в отпуск.', 'Я люблю читать Пушкина.']","Люблю, но не всегда денег хватает. У меня есть пёс, я его люблю. У тебя есть животные? Забыл, я же люблю футбол.","Люблю путешествовать, но не всегда денег хватает. У меня есть пёс, я его люблю. У тебя есть животные? Забыл, я же люблю футбол."
199,Играю классику. На каком инструменте вы играете?,"['Здравствуйте! Пообщаемся?', 'Здравствуйте, да меня зовут Евгений, я музыкант. А вы кто?', 'Очень приятно познакомиться, я Елена. Я кондитер.', 'Чем занимаетесь в свободное время?', 'Какую музыку вы играете?', 'Что любите? Играю классику.']",Читаю. Вышиваю. На каком инструменте вы играете?,Люблю читать. Люблю вышивать. На каком инструменте вы играете?
200,"А я не сижу на одном месте, обожаю путешествовать. Институт в прошлом, можно разъезжать по миру с семьёй, обожаю свою семью.","['Привет, я адвокат, меня зовут Татьяна, у меня трое детей.', 'Привет.', 'Как вас зовут? Чем занимаетесь?']","А я не сижу на одном месте, обожаю путешествовать. Институт в прошлом, можно разъезжать по миру с семьёй, обожаю свою семью.","А я не сижу на одном месте, обожаю путешествовать. Институт у меня в прошлом, можно разъезжать теперь по миру с семьёй, обожаю свою семью."
201,"О, какая ваша любимая игра на пк? Очень много, предпочитаю шутеры.","['Привет.', 'Привет.', 'Чем занимаешься?', 'Я студент технического вуза. А вы чем занимаетесь?', 'А я готовлю и музыку слушаю. Обожаю рок. Вы какой жанр слушаете?', 'Я не очень хорошо разбираюсь в музыке. Но зато обожаю играть в игры на пк.', 'О, какая ваша любимая игра на пк?']","Очень много, предпочитаю шутеры.","У меня очень много любимых игр на пк, предпочитаю шутеры."
202,"А я люблю плотно покушать и послушать музыку, а вам нравятся цветы?","['Привет.', 'Привет.', 'А вы были на Таити?', 'Нет, я не была на Таити. Я хочу в Германию.', 'В Германии я тоже не была. А что вы любите?', 'Люблю фильмы смотреть, читать книги. А вы что любите?', 'А я люблю плотно покушать и послушать музыку. А вам нравятся цветы?']","Кушать это хорошо, нравятся не столько цветы, а скорее внимание, которое стоит за ними.","Кушать это хорошо, нравятся не столько цветы, а скорее нравится внимание, которое стоит за цветами."
203,Чем увлекаешься?,"['Приветик!', 'Привет, я Катя.)', 'Я Денис. Как жизнь?', 'Очень приятно познакомиться, Денис! Всё хорошо, как твоя жизнь?', 'Отлично! Чем занимаешься?']","Чем увлекаешься? Я пью чай, в ты?","Чем увлекаешься? Я пью чай, в ты чем занимаешься?"
204,"Круто, а я ещё учусь в школе, и люблю танцевать.","['Привет.', 'Привет.', 'Чем занимаешься?', 'Пишу книгу.']","Круто, а я ещё учусь в школе. И люблю танцевать.","Круто, ты книгу пишешь, а я ещё учусь в школе. И люблю танцевать."
205,"Обязательно. А я вот от скуки могу себе позволить только на рыбалку съездить, кошке наловить и отдыхать.","['Привет.', 'Привет. Как дела?', 'Дела отлично! Погода - прелесть, на душе радость, а ты как?', 'Я хорошо. Я немного уставший, только я пришёл с тренировки.', 'О! Я тоже люблю тренировки. Йогой увлекаюсь. Часто путешествую, и меня втянули в йогу на воде. Слышал про йогу на воде? А жена у тебя увлекается спортом?', 'Жена - нет, не увлекается спортом, но дети увлекаются спортом. Сын занимается футболом, а дочь на коньках катается. А твоя семья чем любит заниматься?', 'У тебя двое детей, как и у меня.', 'Да, и у меня двое детей. Мы часто ездим куда-нибудь отдыхать вместе, любим путешествовать. Чем ещё увлекаешься?', 'Семья чем любит заниматься? Да муж вечно пропадает со своим бизнесом, я уже даже устала, что вечно его не вижу. Конечно, зато я ни в чём не нуждаюсь, но... Тяжело так. Вот от скуки надумала открыть свой ресторан. Придёте к нам, как открою свой ресторан? А ты чем ещё увлекаешься? Где работаешь?']","Обязательно. А я вот от скуки могу себе позволить только на рыбалку съездить, кошке наловить и отдыхать.","Обязательно приду. А я вот от скуки могу себе позволить только на рыбалку съездить, кошке наловить рыбок и отдыхать."
